nama,kalori,lemak,karbo,protein,lemak_jenuh,kolesterol_mg,sodium_mg,serat_g,gula_g,url,keyword
Daging Sapi,288,19.54,0.0,26.33,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi,Daging
Semur Daging,141,8.0,4.34,12.7,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/semur-daging,Daging
Daging Sapi (90% tanpa Lemak / 10% Lemak),176,10.0,0.0,20.0,7.19,88.0,400.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-(90-tanpa-lemak-10-lemak),Daging
Empal Daging,212,10.29,7.47,22.31,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/empal-daging,Daging
Daging Sapi (70% tidak Berlemak / 30% Lemak),332,30.0,0.0,14.35,7.19,88.0,400.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-(70-tidak-berlemak-30-lemak),Daging
Daging Sapi (95% tanpa Lemak / 5% Lemak),137,5.0,0.0,21.41,7.19,88.0,400.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-(95-tanpa-lemak-5-lemak),Daging
Gulai Daging Sapi,109,4.63,3.02,13.2,0.44,1.0,226.0,1.7,100.0,https://www.fatsecret.co.id/kalori-gizi/umum/gulai-daging-sapi,Daging
Dendeng Sapi,82,5.12,2.2,6.64,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/dendeng-sapi,Daging
Daging Sapi Panggang,267,17.32,0.0,25.91,6.81,76.0,217.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-panggang,Daging
Oseng Mercon Daging,220,17.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/mercon-merah-putih/oseng-mercon-daging/1-porsi,Daging
Daging Sapi (80% tanpa Lemak / 20% Lemak),254,20.0,0.0,17.17,7.19,88.0,400.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-(80-tanpa-lemak-20-lemak),Daging
Kari Daging Sapi,184,12.96,5.8,11.69,0.05,0.0,1.0,0.7,0.06,https://www.fatsecret.co.id/kalori-gizi/umum/kari-daging-sapi,Daging
Daging Sapi Giling,276,18.58,0.0,25.35,7.19,88.0,400.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-giling,Daging
Daging,287,19.29,0.0,26.41,10.96,0.0,525.0,4.4,4.12,https://www.fatsecret.co.id/kalori-gizi/umum/daging,Daging
Daging Sapi (85% tanpa Lemak / 15% Lemak),215,15.0,0.0,18.59,7.19,88.0,400.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-(85-tanpa-lemak-15-lemak),Daging
Soto Daging,219,11.51,10.77,18.25,0.99,5.0,705.0,1.0,10.54,https://www.fatsecret.co.id/kalori-gizi/umum/soto-daging,Daging
Steak Daging Sapi,252,15.01,0.0,27.29,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/steak-daging-sapi,Daging
Daging Sapi (75% tanpa Lemak / 25% Lemak),293,25.0,0.0,15.76,7.19,88.0,400.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-(75-tanpa-lemak-25-lemak),Daging
"Daging Sapi Rebus dengan Kentang dan Sayuran (Termasuk Wortel, Brokoli, dan / atau  Sayuran Berdaun Hijau Gelap) dalam Saus Tomat",222,9.73,19.53,13.86,0.44,1.0,226.0,1.7,1.93,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-rebus-dengan-kentang-dan-sayuran-(termasuk-wortel-brokoli-dan-atau-sayuran-berdaun-hijau-gelap)-dalam-saus-tomat,Daging
Daging Lada Hitam,35,1.5,5.0,1.0,0.0,0.0,2325.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/finna/daging-lada-hitam/1-porsi,Daging
"Daging Ayam (Panggang, Bakar, Dimasak)",167,6.63,0.0,25.01,0.67,65.0,75.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-ayam-(panggang-bakar-dimasak),Daging
Daging Domba Panggang,266,18.15,0.0,23.93,8.76,96.0,394.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-domba-panggang,Daging
Daging Sapi,288,19.54,0.0,26.33,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/superindo/daging-sapi/100g,Daging
Soyburger tanpa Daging,179,5.97,13.4,17.91,0.73,0.0,222.0,0.7,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/soyburger-tanpa-daging,Daging
Potongan Daging Domba,226,17.55,0.0,15.86,7.67,68.0,281.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/potongan-daging-domba,Daging
"Irisan Daging Babi (Biasa, Kira-Kira 11% Lemak)",163,8.6,3.83,16.6,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/irisan-daging-babi-(biasa-kira-kira-11-lemak),Daging
Bakso Daging Sapi,70,1.5,3.0,12.0,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/sumber-selera/bakso-daging-sapi/1-porsi,Daging
Sandwich Daging Sapi Asap,217,4.9,26.08,15.88,2.93,0.0,483.0,2.9,12.11,https://www.fatsecret.co.id/kalori-gizi/umum/sandwich-daging-sapi-asap,Daging
Kulit Kentang Goreng dengan Keju dan Daging Asap,167,7.91,18.14,6.03,0.01,0.0,158.0,2.1,0.63,https://www.fatsecret.co.id/kalori-gizi/umum/kulit-kentang-goreng-dengan-keju-dan-daging-asap,Daging
"Daging dan Kulit Sayap Ayam (Ayam Pedaging, Dipanggang, Dimasak)",99,6.62,0.0,9.13,1.51,23.0,113.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-dan-kulit-sayap-ayam-(ayam-pedaging-dipanggang-dimasak),Daging
